ip,continent,country,site,min_rtt_ms,avg_rtt_ms,max_rtt_ms,latitude,longitude
52.119.103.17,North America,USA,West Lafayette,4.577,23.718,104.307,40.4259,-86.9081
160.242.19.254,Africa,AO,Luanda,301.539,328.928,381.964,-8.81466,13.2302
41.110.39.130,Africa,DZ,Algiers,165.125,199.588,249.083,36.7598,3.01369
213.158.175.240,Africa,EG,Cairo,171.849,213.642,276.055,30.0383,31.2102
102.214.66.39,Africa,GH,Accra,211.936,227.709,272.397,5.60372,-0.186964
102.214.66.19,Africa,GH,Accra,227.614,249.515,300.789,5.60372,-0.186964
212.60.92.134,Africa,GM,Banjul,NA,NA,NA,13.4256,-16.7397
105.235.237.2,Africa,GQ,Bata,275.034,295.966,350.461,3.75496,8.78213
gw1.malabo.guineanet.net,Africa,GQ,Bata,276.182,301.846,373.580,3.75496,8.78213
speed.mymanga.pro,Africa,KE,Nairobi,352.161,421.993,558.955,-1.2841,36.8155
speedtestfl.telecom.mu,Africa,MU,Floreal,303.465,333.181,393.137,-20.2397,57.4722
197.227.12.18,Africa,MU,Floreal,303.421,324.661,369.079,-20.2397,57.4722
41.210.185.162,Africa,UG,Kampala,257.464,303.533,462.972,0.321,32.5714
69.48.239.124,Africa,ZA,Johannesburg,280.392,370.720,533.133,-26.2309,28.0583
23.249.55.42,Asia,AE,Dubai,221.340,254.490,306.030,25.0734,55.2979
69.48.238.200,Asia,AE,Dubai,228.493,248.189,303.848,25.0734,55.2979
189.25.101.151,Asia,AE,Dubai,235.739,298.423,364.538,25.0734,55.2979
189.25.97.217,Asia,AE,Dubai,220.251,299.488,514.763,25.0734,55.2979
speedtest.hkg12.hk.leaseweb.net,Asia,HK,Hong Kong,218.972,262.873,342.701,22.3656,114.119
84.17.57.129,Asia,HK,Hong Kong,194.732,238.008,379.199,22.3193,114.169
23.249.58.14,Asia,HK,Hong Kong,203.290,231.708,312.766,22.3193,114.169
speedtest.tangerang2.myrepublic.net.id,Asia,ID,Kediri,266.115,319.588,417.086,-6.1716,106.5265
speed.netfiber.net.il,Asia,IL,Jerusalem,187.940,221.394,287.047,31.7674,35.2186
speed.rimon.net.il,Asia,IL,Jerusalem,184.949,221.161,305.998,31.7674,35.2186
169.150.202.193,Asia,IL,Tel Aviv,179.362,198.546,266.322,32.0804,34.7807
49.205.75.2,Asia,IN,Bengaluru,237.799,277.435,342.006,12.9753,77.591
69.48.236.198,Asia,IN,Pune,274.072,338.519,468.122,18.5211,73.8502
23.249.60.154,Asia,JP,Komagome,141.669,220.365,413.047,35.6893,139.6899
speedtest.tyo11.jp.leaseweb.net,Asia,JP,Tokyo,165.208,196.655,249.854,35.6893,139.6899
89.187.160.1,Asia,JP,Tokyo,188.184,238.326,358.491,35.6893,139.6899
66.35.31.81,Asia,JP,Tokyo,135.369,177.752,326.992,35.6893,139.6899
coverage1.mobicom.mn,Asia,MN,Ulaanbaatar,222.061,332.680,647.691,47.9177,106.913
speedtest.sin1.sg.leaseweb.net,Asia,SG,Singapore,246.379,276.258,340.018,1.27998,103.842
89.187.162.1,Asia,SG,Singapore,248.419,290.013,403.387,1.35208,103.82
sgp.proof.ovh.net,Asia,SG,Singapore,224.848,255.983,397.763,1.27994,103.849
96.45.38.22,Asia,SG,Singapore,204.844,236.890,291.817,1.35208,103.82
